"cattle_id","timestamp","label","gx","gy","gz","ax","ay","az","id"
"DE0947746944","1536656757100","Gehen","251.44","-88.44","1.44","-0.41","-0.62","-1.36",1
"DE0947746944","1536656757201","Gehen","254.44","-85.5","2.69","0.83","-1.26","-0.65",2
"DE0947746944","1536656757303","Gehen","253.5","-84","2.56","0.71","-0.96","0.09",3
"DE0947746944","1536656757405","Gehen","251.38","-84.38","2.63","-1.33","-0.89","0.79",4
"DE0947746944","1536656757507","Gehen","249.38","-86.88","2.56","-0.02","0.69","0.65",5
"DE0947746944","1536656757608","Gehen","249.38","-85.94","3.5","0.5","1.71","0.18",6
"DE0947746944","1536656757710","Gehen","251.38","-84.69","4","0.6","0.36","0.67",7
"DE0947746944","1536656757812","Gehen","252.19","-84.56","4.5","0.85","-0.5","0.12",8
"DE0947746944","1536656757914","Gehen","251.06","-84.25","5.06","0.59","-0.77","-1.11",9
"DE0947746944","1536656758015","Gehen","246.94","-83.13","44.38","-0.04","1.11","-1.06",10
"DE0947746944","1536656758117","Gehen","244.5","-83.13","33.31","2.01","1.42","0.07",11
"DE0947746944","1536656758219","Gehen","247.06","-81.88","29.75","-1.99","-0.8","1.07",12
"DE0947746944","1536656758321","Gehen","248.13","-84.63","3.5","-0.8","-0.71","0.9",13
"DE0947746944","1536656758422","Gehen","249.06","-85.38","3.31","0.7","-1.03","-0.15",14
"DE0947746944","1536656758524","Gehen","248.31","-85.88","1.81","0.37","-2.34","0.5",15
"DE0947746944","1536656758626","Gehen","245.13","-85.88","-0.44","0.91","-1.09","0.63",16
"DE0947746944","1536656758728","Gehen","246.06","-87.13","-0.81","0.76","-1.3","-0.23",17
"DE0947746944","1536656758829","Gehen","248.75","-86.13","-0.06","-0.16","-1.73","-1.14",18
"DE0947746944","1536656758931","Gehen","251.25","-84.44","1.38","1.31","-0.92","-0.43",19
"DE0947746944","1536656759033","Gehen","251.31","-83.25","1.69","-1.17","-0.01","0.56",20
"DE0947746944","1536656759135","Gehen","251.88","-84.69","1.94","-1.06","-0.57","0.2",21
"DE0947746944","1536656759236","Gehen","253.38","-85.88","2","-0.2","0.79","0.14",22
"DE0947746944","1536656759338","Gehen","255.31","-84.75","2.94","0.45","1.56","0.1",23
"DE0947746944","1536656759440","Gehen","259.94","-82.63","42.63","0.89","0.6","0.28",24
"DE0947746944","1536656759542","Gehen","261.06","-82.88","45.38","1.1","-0.11","0.3",25
"DE0947746944","1536656759643","Gehen","259.88","-83.56","5.13","0.52","-0.54","-0.05",26
"DE0947746944","1536656759745","Gehen","256.19","-83.63","4.5","-0.47","0.16","-1.17",27
"DE0947746944","1536656759847","Gehen","252.44","-83.75","3.13","1.34","0.84","-0.42",28
"DE0947746944","1536656759949","Gehen","252.31","-83.44","2.19","-1.52","0.43","1.21",29
"DE0947746944","1536656760050","Gehen","256.94","-86.44","2.63","-0.5","-1.08","0.57",30
"DE0947746944","1536656760150","Gehen","259","-86.69","3.13","0.4","-1.09","0.54",31
"DE0947746944","1536656760250","Gehen","258.25","-88.31","1.13","0.62","-0.96","1.22",32
"DE0947746944","1536656760350","Gehen","256.81","-88.19","-1","0.33","-0.87","0.15",33
"DE0947746944","1536656760450","Gehen","259","-88.5","-0.81","0.35","-1.65","-1.11",34
"DE0947746944","1536656760550","Gehen","260.88","-86.25","0.19","0.21","-1.46","-0.6",35
"DE0947746944","1536656760650","Gehen","260.75","-84.06","1","1.82","-0.62","-0.07",36
"DE0947746944","1536656760750","Gehen","260.56","-83.38","2.44","-1.98","-1.06","0.19",37
