Time 1: 0.1751086711883545 Time 2: 0.002379179000854492 Sum: 0.17748785018920898

Time 1: 0.17599892616271973 Time 2: 0.0024461746215820312 Sum: 0.17844510078430176

Time 1: 0.177293062210083 Time 2: 0.0023469924926757812 Sum: 0.1796400547027588

Time 1: 0.1761460304260254 Time 2: 0.002386808395385742 Sum: 0.17853283882141113

Time 1: 0.1851801872253418 Time 2: 0.002852201461791992 Sum: 0.1880323886871338

Time 1: 0.17585515975952148 Time 2: 0.0023789405822753906 Sum: 0.17823410034179688

Time: 0.08854198455810547 Sorted Accesses: 112 Random Accesses: 226
Time: 0.29049181938171387 Sorted Accesses: 153 Random Accesses: 308
Time: 0.002379179000854492 Sorted Accesses: 2 Random Accesses: 6
Time 1: 0.37953805923461914 Time 2: 0.0024509429931640625 Sum: 0.3819890022277832

Time: 0.08688497543334961 Sorted Accesses: 112 Random Accesses: 226
Time: 0.1161661148071289 Sorted Accesses: 153 Random Accesses: 308
Time: 0.002315044403076172 Sorted Accesses: 2 Random Accesses: 6
Time 1: 0.2034618854522705 Time 2: 0.002377033233642578 Sum: 0.20583891868591309

Time: 0.08572888374328613 Sorted Accesses: 112 Random Accesses: 226
Time: 0.11941313743591309 Sorted Accesses: 153 Random Accesses: 308
Time: 0.003010988235473633 Sorted Accesses: 2 Random Accesses: 6
Time 1: 0.20566821098327637 Time 2: 0.0032601356506347656 Sum: 0.20892834663391113

Time: 0.08888888359069824 Sorted Accesses: 112 Random Accesses: 226
Time: 0.12181878089904785 Sorted Accesses: 153 Random Accesses: 308
Time: 0.002454042434692383 Sorted Accesses: 2 Random Accesses: 6
Time 1: 0.21172404289245605 Time 2: 0.002549886703491211 Sum: 0.21427392959594727

Time: 0.09642481803894043 Sorted Accesses: 112 Random Accesses: 226
Time: 0.12390398979187012 Sorted Accesses: 153 Random Accesses: 308
Time: 0.0024390220642089844 Sorted Accesses: 2 Random Accesses: 6
Time 1: 0.22078990936279297 Time 2: 0.002537965774536133 Sum: 0.2233278751373291

Time 1: 0.1753389835357666 Time 2: 0.0023729801177978516 Sum: 0.17771196365356445

Time 1: 0.1731550693511963 Time 2: 0.002438783645629883 Sum: 0.17559385299682617

